Government Level,Domain,State,county,city
County,louisacounty.gov,VA,Louisa ,
County,lubbockcounty.gov,TX,Lubbock ,
County,macoupinvotes.gov,IL,Macoupin ,
County,maps.lakecountyil.gov,IL,Lake,
County,marathoncounty.gov,WI,Marathon ,
County,mclennan.gov,TX,McLennan ,
County,mendocinocounty.gov,CA,Mendocino ,
County,miamidade.gov,FL,Miami-Dade ,
County,middlesexcountynj.gov,NJ,Middlesex ,
County,minidoka.id.us,ID,Minidoka ,
County,monroecounty.gov,NY,Monroe ,
County,montgomerycountymd.gov,MD,Montgomery ,
County,montgomerycountypa.gov,PA,Montgomery ,
County,morriscountynj.gov,NJ,Morris ,
County,multco.us,OR,Multnomah ,
County,myvoterportal.saccounty.gov,CA,Sacramento,
County,nassaucountyny.gov,NY,Nassau ,
County,navajocountyaz.gov,AZ,Navajo ,
County,nevadacountyca.gov,CA,Nevada ,
County,norcopa.gov,PA,Northampton ,
County,nuecesco.com,TX,Nueces,
County,oakgov.com,MI,Oakland ,
County,olmstedcounty.gov,MN,Olmsted ,
County,ontariocountyny.gov,NY,Ontario ,
County,orangecountyva.gov,VA,Orange ,
County,orleanscountyny.gov,NY,Orleans ,
County,osageco.org,KS,Osage ,
County,outagamie.org,WI,Outagamie ,
County,palmbeachvotes.gov,FL,Palm Beach ,
County,parkercountytx.gov,TX,Parker ,
County,pascovotes.gov,FL,Pasco ,
County,passaiccountynj.org,NJ,Passaic ,
County,piercecountywa.gov,WA,Pierce ,
County,pima.gov,AZ,Pima ,
County,pimamaps.pima.gov,AZ,Pima,
County,pinal.gov,AZ,Pinal ,
County,placercountyelections.gov,CA,Placer ,
County,polkelections.gov,FL,Polk ,
County,portagecounty-oh.gov,OH,Portage ,
County,porterco.org,CO,Porter ,
